Unnamed: 0,French,English
1,histoire,history
3,seulement,only
5,pensais,thought
7,demande,request
8,genre,kind
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
25,pendant,while
26,revoir,meet again
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,donné,given
39,train,train
40,corps,body
41,façon,way
42,écoute,listen
43,dont,whose
44,trouve,find
46,perdu,lost
47,main,hand
49,côté,side
50,sois,be
51,tiens,here
54,point,point
55,venu,came
56,suite,after
57,pardon,sorry
58,venez,come
59,devant,in front of
61,demandé,request
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
69,enfin,finally
70,espère,hope
71,eau,water
73,nouvelle,new
75,arrêter,Stop
76,dirait,would say
77,terre,Earth
78,compte,account
80,loin,far
81,fin,end
82,croire,believe
83,chérie,sweetheart
84,gros,large
85,plutôt,rather
86,aura,will have
87,jouer,to play
88,bureau,office
